fid,ID,Site,Lat,Long,Elev_m,NED_m
"1","1",E1248,43.8075,-70.2462,"70","51"
"2","2",E4279,43.9397,-70.3468,"96","96"
"3","3",E4229,43.9522,-70.0707,"64","65"
"4","4",KPWM,43.6424,-70.3044,"19","15"
"5","5",HOME,43.80271,-70.249372,"56","56"
