Human_date,Channel,kwh,db_date,
2/5/2019 7:00,10,0.879,2019-02-05 07:00:00,
2/5/2019 8:00,10,1.651,2019-02-05 08:00:00,
2/5/2019 9:00,10,0.677,2019-02-05 09:00:00,
2/5/2019 10:00,10,0.522,2019-02-05 10:00:00,
2/5/2019 11:00,10,0.579,2019-02-05 11:00:00,
2/5/2019 12:00,10,0.472,2019-02-05 12:00:00,
2/5/2019 13:00,10,0.419,2019-02-05 13:00:00,
2/5/2019 14:00,10,0.609,2019-02-05 14:00:00,
2/5/2019 15:00,10,0.623,2019-02-05 15:00:00,
2/5/2019 16:00,10,0.501,2019-02-05 16:00:00,
2/5/2019 17:00,10,1.363,2019-02-05 17:00:00,
2/5/2019 18:00,10,1.526,2019-02-05 18:00:00,
2/5/2019 19:00,10,1.016,2019-02-05 19:00:00,
2/5/2019 20:00,10,0.835,2019-02-05 20:00:00,
2/5/2019 21:00,10,1.869,2019-02-05 21:00:00,
2/5/2019 22:00,10,1.941,2019-02-05 22:00:00,
2/5/2019 23:00,10,1.271,2019-02-05 23:00:00,
2/6/2019 0:00,10,0.846,2019-02-06 00:00:00,
2/6/2019 1:00,10,0.726,2019-02-06 01:00:00,
2/6/2019 2:00,10,0.635,2019-02-06 02:00:00,
2/6/2019 3:00,10,0.556,2019-02-06 03:00:00,
2/6/2019 4:00,10,0.663,2019-02-06 04:00:00,
2/6/2019 5:00,10,0.636,2019-02-06 05:00:00,
2/6/2019 6:00,10,0.566,2019-02-06 06:00:00,
2/6/2019 7:00,10,0.754,2019-02-06 07:00:00,
2/6/2019 8:00,10,1.698,2019-02-06 08:00:00,
2/6/2019 9:00,10,1.048,2019-02-06 09:00:00,
2/6/2019 10:00,10,0.693,2019-02-06 10:00:00,
2/6/2019 11:00,10,0.766,2019-02-06 11:00:00,
2/6/2019 12:00,10,0.706,2019-02-06 12:00:00,
2/6/2019 13:00,10,0.738,2019-02-06 13:00:00,
2/6/2019 14:00,10,0.704,2019-02-06 14:00:00,
2/6/2019 15:00,10,0.647,2019-02-06 15:00:00,
2/6/2019 16:00,10,0.741,2019-02-06 16:00:00,
2/6/2019 17:00,10,1.032,2019-02-06 17:00:00,
2/6/2019 18:00,10,1.107,2019-02-06 18:00:00,
2/6/2019 19:00,10,0.914,2019-02-06 19:00:00,
2/6/2019 20:00,10,1.072,2019-02-06 20:00:00,
2/6/2019 21:00,10,1.809,2019-02-06 21:00:00,
2/6/2019 22:00,10,0.834,2019-02-06 22:00:00,
2/6/2019 23:00,10,1.518,2019-02-06 23:00:00,
2/7/2019 0:00,10,1.059,2019-02-07 00:00:00,
2/7/2019 1:00,10,0.601,2019-02-07 01:00:00,
2/7/2019 2:00,10,0.612,2019-02-07 02:00:00,
2/7/2019 3:00,10,0.741,2019-02-07 03:00:00,
2/7/2019 4:00,10,0.596,2019-02-07 04:00:00,
2/7/2019 5:00,10,0.622,2019-02-07 05:00:00,
2/7/2019 6:00,10,0.892,2019-02-07 06:00:00,
2/7/2019 7:00,10,1.282,2019-02-07 07:00:00,
2/7/2019 8:00,10,0.916,2019-02-07 08:00:00,
2/7/2019 9:00,10,0.833,2019-02-07 09:00:00,
2/7/2019 10:00,10,0.862,2019-02-07 10:00:00,
2/7/2019 11:00,10,0.701,2019-02-07 11:00:00,
2/7/2019 12:00,10,0.666,2019-02-07 12:00:00,
2/7/2019 13:00,10,0.693,2019-02-07 13:00:00,
2/7/2019 14:00,10,0.794,2019-02-07 14:00:00,
2/7/2019 15:00,10,0.898,2019-02-07 15:00:00,
2/7/2019 16:00,10,1.112,2019-02-07 16:00:00,
2/7/2019 17:00,10,1.112,2019-02-07 17:00:00,
2/7/2019 18:00,10,1.347,2019-02-07 18:00:00,
