"PVWatts: Hourly PV Performance Data"
"Requested Location:","14 woodside Dr, cumberland center, maine"
"Location:","Lat, Lon: 43.81, -70.26"
"Lat (deg N):","43.81"
"Long (deg W):","70.26"
"Elev (m):","82.919998168945"
"DC System Size (kW):","4.4"
"Module Type:","Premium"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","43"
"Array Azimuth (deg):","225"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.090"
"Capacity Factor (%)","14.3"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-1","0","0","-1","0","0"
"1","1","1","0","0","-1","0","0","-1","0","0"
"1","1","2","0","0","-1","0","0","-1","0","0"
"1","1","3","0","0","-1","0","0","-1","0","0"
"1","1","4","0","0","-1","0","0","-1","0","0"
"1","1","5","0","0","-2","0","0","-2","0","0"
"1","1","6","0","0","-2","0","0","-2","0","0"
"1","1","7","118","13","-1","0","10.288","-5.172","42.999","19.769"
"1","1","8","523","54","0","0","123.404","1.768","383.675","353.705"
"1","1","9","699","75","0","0","339.359","14.235","1227.554","1176.662"
"1","1","10","479","112","0","0","401.942","19.356","1519.65","1460.114"
"1","1","11","498","122","1","0","514.234","25.304","1929.948","1857.053"
"1","1","12","387","137","1","0","505.463","26.048","1899.861","1827.993"
"1","1","13","329","126","1","0","453.621","24.025","1718.587","1652.751"
"1","1","14","262","89","0","0","355.652","18.794","1371.572","1316.508"
"1","1","15","137","37","0","0","181.257","10.491","717.618","680.088"
"1","1","16","0","0","0","0","0","0","0","0"
"1","1","17","0","0","0","0","0","0","0","0"
"1","1","18","0","0","0","0","0","0","0","0"
"1","1","19","0","0","0","0","0","0","0","0"
"1","1","20","0","0","0","0","0","0","0","0"
"1","1","21","0","0","0","0","0","0","0","0"
"1","1","22","0","0","-1","0","0","-1","0","0"
"1","1","23","0","0","-2","0","0","-2","0","0"
"1","2","0","0","0","-2","0","0","-2","0","0"
"1","2","1","0","0","-3","0","0","-3","0","0"
"1","2","2","0","0","-3","0","0","-3","0","0"
"1","2","3","0","0","-4","0","0","-4","0","0"
"1","2","4","0","0","-5","0","0","-5","0","0"
"1","2","5","0","0","-6","0","0","-6","0","0"
"1","2","6","0","0","-6","0","0","-6","0","0"
"1","2","7","0","18","-5","0","14.914","-9.539","63.198","39.596"
"1","2","8","580","50","-3","0","126.458","-1.052","386.782","356.746"
"1","2","9","738","71","-1","0","348.462","13.674","1259.405","1207.605"
"1","2","10","810","82","0","0","556.517","25.443","2050.938","1973.831"
"1","2","11","744","71","0","0","633.803","30.204","2334.725","2247.256"
"1","2","12","713","74","0","0","696.915","33.109","2552.692","2456.802"
"1","2","13","772","77","0","0","795.314","37.024","2875.314","2766.223"
"1","2","14","678","59","0","0","684.251","33.982","2500.218","2406.392"
"1","2","15","436","33","-1","0","417.622","22.569","1584.948","1523.381"
"1","2","16","0","0","-2","0","0","-2","0","0"
"1","2","17","0","0","-2","0","0","-2","0","0"
"1","2","18","0","0","-3","0","0","-3","0","0"
"1","2","19","0","0","-3","0","0","-3","0","0"
"1","2","20","0","0","-3","0","0","-3","0","0"
"1","2","21","0","0","-3","0","0","-3","0","0"
"1","2","22","0","0","-3","0","0","-3","0","0"
"1","2","23","0","0","-4","0","0","-4","0","0"
"1","3","0","0","0","-3","0","0","-3","0","0"
"1","3","1","0","0","-3","0","0","-3","0","0"
"1","3","2","0","0","-3","0","0","-3","0","0"
"1","3","3","0","0","-3","0","0","-3","0","0"
"1","3","4","0","0","-3","0","0","-3","0","0"
"1","3","5","0","0","-4","0","0","-4","0","0"
"1","3","6","0","0","-4","0","0","-4","0","0"
"1","3","7","0","16","-3","0","13.402","-7.702","56.464","32.987"
"1","3","8","523","54","-2","0","121.602","-0.344","379.41","349.53"
"1","3","9","695","77","0","0","337.979","14.127","1222.342","1171.598"
"1","3","10","772","89","0","0","545.004","24.911","2013.388","1937.601"
"1","3","11","801","95","0","0","705.736","32.676","2577.407","2480.537"
"1","3","12","384","148","1","0","515.727","28.17","1924.123","1851.427"
"1","3","13","115","141","1","0","274.594","17.213","1065.625","1019.213"
"1","3","14","93","95","1","0","207.633","11.535","821.176","781.11"
"1","3","15","43","37","0","0","93.717","4.362","379.131","349.257"
"1","3","16","0","0","0","0","0","0","0","0"
"1","3","17","0","0","0","0","0","0","0","0"
"1","3","18","0","0","0","0","0","0","0","0"
"1","3","19","0","0","0","0","0","0","0","0"
"1","3","20","0","0","0","0","0","0","0","0"
"1","3","21","0","0","-1","0","0","-1","0","0"
"1","3","22","0","0","-1","0","0","-1","0","0"
"1","3","23","0","0","-2","0","0","-2","0","0"
"1","4","0","0","0","-2","0","0","-2","0","0"
"1","4","1","0","0","-3","0","0","-3","0","0"
"1","4","2","0","0","-5","0","0","-5","0","0"
"1","4","3","0","0","-6","0","0","-6","0","0"
"1","4","4","0","0","-7","0","0","-7","0","0"
"1","4","5","0","0","-8","0","0","-8","0","0"
"1","4","6","0","0","-8","0","0","-8","0","0"
"1","4","7","0","14","-8","0","11.712","-12.66","50.111","26.751"
"1","4","8","294","70","-8","0","102.729","-8.254","363.927","334.374"
"1","4","9","437","105","-7","0","268.557","3.952","1022.177","976.93"
"1","4","10","514","107","-7","1","414.453","7.939","1626.68","1563.796"
"1","4","11","652","91","-7","1","594.917","15.43","2308.02","2221.555"
"1","4","12","787","102","-7","1","796.513","23.478","3019.058","2903.801"
"1","4","13","767","85","-7","1","802.159","24.932","3028.361","2912.7"
"1","4","14","672","66","-7","1","689.459","21.249","2635.411","2536.22"
"1","4","15","444","36","-8","1","427.85","10.592","1691.512","1626.553"
"1","4","16","0","0","-9","1","0","-9","0","0"
"1","4","17","0","0","-10","1","0","-10","0","0"
"1","4","18","0","0","-11","0","0","-11","0","0"
"1","4","19","0","0","-12","0","0","-12","0","0"
"1","4","20","0","0","-13","0","0","-13","0","0"
"1","4","21","0","0","-14","0","0","-14","0","0"
"1","4","22","0","0","-14","0","0","-14","0","0"
"1","4","23","0","0","-15","0","0","-15","0","0"
"1","5","0","0","0","-15","0","0","-15","0","0"
"1","5","1","0","0","-15","0","0","-15","0","0"
"1","5","2","0","0","-16","0","0","-16","0","0"
"1","5","3","0","0","-17","0","0","-17","0","0"
"1","5","4","0","0","-18","0","0","-18","0","0"
"1","5","5","0","0","-18","0","0","-18","0","0"
"1","5","6","0","0","-18","0","0","-18","0","0"
"1","5","7","0","17","-18","0","14.176","-22.541","62.511","38.922"
"1","5","8","598","33","-15","0","111.255","-14.448","334.601","305.662"
"1","5","9","724","42","-13","0","309.268","0.135","1156.662","1107.759"
"1","5","10","910","65","-11","0","592.213","16.17","2249.805","2165.508"
"1","5","11","931","69","-9","0","763.772","26.951","2845.21","2737.387"
"1","5","12","922","68","-8","0","860.352","32.602","3156.759","3035.433"
"1","5","13","877","62","-7","0","861.659","34.283","3146.275","3025.417"
"1","5","14","780","51","-7","0","754.344","30.664","2789.38","2683.89"
"1","5","15","555","31","-9","0","496.555","18.85","1908.596","1836.431"
"1","5","16","0","0","-10","0","0","-10","0","0"
"1","5","17","0","0","-11","0","0","-11","0","0"
"1","5","18","0","0","-11","0","0","-11","0","0"
"1","5","19","0","0","-12","1","0","-12","0","0"
"1","5","20","0","0","-12","1","0","-12","0","0"
"1","5","21","0","0","-12","1","0","-12","0","0"
"1","5","22","0","0","-12","0","0","-12","0","0"
"1","5","23","0","0","-12","0","0","-12","0","0"
"1","6","0","0","0","-12","0","0","-12","0","0"
"1","6","1","0","0","-12","0","0","-12","0","0"
"1","6","2","0","0","-12","0","0","-12","0","0"
"1","6","3","0","0","-12","0","0","-12","0","0"
"1","6","4","0","0","-12","0","0","-12","0","0"
"1","6","5","0","0","-12","0","0","-12","0","0"
"1","6","6","0","0","-12","0","0","-12","0","0"
"1","6","7","0","17","-11","0","14.18","-15.823","61.269","37.703"
"1","6","8","554","38","-9","0","109.588","-8.442","332.09","303.204"
"1","6","9","682","52","-6","0","305.472","6.684","1123.145","1075.167"
"1","6","10","881","71","-4","0","582.157","22.259","2166.592","2085.344"
"1","6","11","894","78","-2","0","747.815","32.638","2730.349","2627.298"
"1","6","12","781","63","0","0","739.318","35.491","2684.633","2583.45"
"1","6","13","601","84","0","0","659.625","32.675","2423.056","2332.222"
"1","6","14","723","59","0","0","716.307","34.005","2617.344","2518.879"
"1","6","15","498","34","-2","0","468.986","23.846","1772.307","1704.713"
"1","6","16","0","0","-3","0","0","-3","0","0"
"1","6","17","0","0","-3","0","0","-3","0","0"
"1","6","18","0","0","-4","0","0","-4","0","0"
"1","6","19","0","0","-4","0","0","-4","0","0"
"1","6","20","0","0","-5","0","0","-5","0","0"
"1","6","21","0","0","-5","0","0","-5","0","0"
"1","6","22","0","0","-6","0","0","-6","0","0"
"1","6","23","0","0","-6","0","0","-6","0","0"
"1","7","0","0","0","-7","0","0","-7","0","0"
"1","7","1","0","0","-7","0","0","-7","0","0"
"1","7","2","0","0","-7","0","0","-7","0","0"
"1","7","3","0","0","-8","0","0","-8","0","0"
"1","7","4","0","0","-8","0","0","-8","0","0"
"1","7","5","0","0","-8","0","0","-8","0","0"
"1","7","6","0","0","-8","0","0","-8","0","0"
"1","7","7","0","18","-7","0","14.932","-11.612","63.683","40.073"
"1","7","8","616","48","-4","0","124.633","-2.241","373.924","344.16"
"1","7","9","771","68","-1","0","352.201","13.799","1266.62","1214.613"
"1","7","10","655","81","0","0","469.356","22.134","1750.924","1684.033"
"1","7","11","640","95","1","0","590.572","28.78","2187.742","2105.725"
"1","7","12","638","93","2","0","665.314","33.45","2434.505","2343.231"
"1","7","13","692","70","2","0","720.103","35.989","2613.516","2515.205"
"1","7","14","714","62","1","0","722.814","35.62","2625.904","2527.095"
"1","7","15","490","36","0","0","465.859","25.618","1749.804","1682.949"
"1","7","16","0","0","0","0","0","0","0","0"
"1","7","17","0","0","-1","0","0","-1","0","0"
"1","7","18","0","0","-1","0","0","-1","0","0"
"1","7","19","0","0","-1","0","0","-1","0","0"
"1","7","20","0","0","-1","0","0","-1","0","0"
"1","7","21","0","0","-3","0","0","-3","0","0"
"1","7","22","0","0","-4","0","0","-4","0","0"
"1","7","23","0","0","-5","0","0","-5","0","0"
"1","8","0","0","0","-5","0","0","-5","0","0"
"1","8","1","0","0","-5","0","0","-5","0","0"
"1","8","2","0","0","-5","0","0","-5","0","0"
"1","8","3","0","0","-5","0","0","-5","0","0"
"1","8","4","0","0","-5","0","0","-5","0","0"
"1","8","5","0","0","-5","0","0","-5","0","0"
"1","8","6","0","0","-5","0","0","-5","0","0"
"1","8","7","0","17","-4","0","14.192","-8.589","59.959","36.417"
"1","8","8","470","62","-2","0","118.013","-0.61","378.474","348.614"
"1","8","9","637","90","0","0","325.684","13.544","1183.531","1133.879"
"1","8","10","712","107","0","0","527.482","24.121","1955.635","1881.855"
"1","8","11","351","153","0","0","428.585","22.346","1626.693","1563.809"
"1","8","12","2","137","1","0","128.495","10.155","510.989","478.248"
"1","8","13","0","106","1","0","97.845","4.182","396.853","366.602"
"1","8","14","0","70","1","0","64.168","1.585","262.466","235.007"
"1","8","15","0","26","0","0","21.775","-2.941","90.369","66.261"
"1","8","16","0","0","0","0","0","0","0","0"
"1","8","17","0","0","0","0","0","0","0","0"
"1","8","18","0","0","0","0","0","0","0","0"
"1","8","19","0","0","0","0","0","0","0","0"
"1","8","20","0","0","0","0","0","0","0","0"
"1","8","21","0","0","0","0","0","0","0","0"
"1","8","22","0","0","0","0","0","0","0","0"
"1","8","23","0","0","0","0","0","0","0","0"
"1","9","0","0","0","0","0","0","0","0","0"
"1","9","1","0","0","0","0","0","0","0","0"
"1","9","2","0","0","0","0","0","0","0","0"
"1","9","3","0","0","0","0","0","0","0","0"
"1","9","4","0","0","0","0","0","0","0","0"
"1","9","5","0","0","0","0","0","0","0","0"
"1","9","6","0","0","0","0","0","0","0","0"
"1","9","7","0","9","0","0","7.504","-4.949","31.344","8.328"
"1","9","8","61","68","0","0","66.362","-1.86","260.467","233.048"
"1","9","9","95","123","0","0","151.226","4.551","597.67","562.964"
"1","9","10","304","143","1","0","323.786","14.887","1247.689","1196.224"
"1","9","11","82","172","1","0","232.574","13.178","913.546","871.142"
"1","9","12","43","160","2","0","202.923","11.685","802.445","762.844"
"1","9","13","81","149","2","0","237.888","12.828","937.134","894.121"
"1","9","14","62","102","1","0","174.119","9.507","693.479","656.527"
"1","9","15","22","42","1","0","69.633","3.539","282.666","254.796"
"1","9","16","0","0","1","0","0","1","0","0"
"1","9","17","0","0","1","0","0","1","0","0"
"1","9","18","0","0","1","0","0","1","0","0"
"1","9","19","0","0","1","0","0","1","0","0"
"1","9","20","0","0","1","0","0","1","0","0"
"1","9","21","0","0","1","0","0","1","0","0"
"1","9","22","0","0","2","0","0","2","0","0"
"1","9","23","0","0","2","0","0","2","0","0"
"1","10","0","0","0","2","0","0","2","0","0"
"1","10","1","0","0","2","0","0","2","0","0"
"1","10","2","0","0","2","0","0","2","0","0"
"1","10","3","0","0","3","0","0","3","0","0"
"1","10","4","0","0","3","0","0","3","0","0"
"1","10","5","0","0","3","0","0","3","0","0"
"1","10","6","0","0","3","0","0","3","0","0"
"1","10","7","0","2","3","0","1.66","-2.195","6.874","0"
"1","10","8","0","21","3","0","17.538","-1.439","72.436","48.663"
"1","10","9","0","41","4","0","34.348","0.749","140.872","115.807"
"1","10","10","0","25","4","1","20.911","1.804","85.47","61.454"
"1","10","11","0","138","5","1","124.426","6.81","500.337","467.833"
"1","10","12","0","13","6","1","10.863","4.209","44.058","20.809"
"1","10","13","0","9","6","1","7.511","3.134","30.568","7.566"
"1","10","14","0","5","7","2","4.164","4.602","16.867","0"
"1","10","15","0","2","8","2","1.661","5.525","6.709","0"
"1","10","16","0","0","8","2","0","8","0","0"
"1","10","17","0","0","9","2","0","9","0","0"
"1","10","18","0","0","9","2","0","9","0","0"
"1","10","19","0","0","10","2","0","10","0","0"
"1","10","20","0","0","10","1","0","10","0","0"
"1","10","21","0","0","9","0","0","9","0","0"
"1","10","22","0","0","7","0","0","7","0","0"
"1","10","23","0","0","6","0","0","6","0","0"
"1","11","0","0","0","5","0","0","5","0","0"
"1","11","1","0","0","3","1","0","3","0","0"
"1","11","2","0","0","1","1","0","1","0","0"
"1","11","3","0","0","0","1","0","0","0","0"
"1","11","4","0","0","0","1","0","0","0","0"
"1","11","5","0","0","0","1","0","0","0","0"
"1","11","6","0","0","-1","1","0","-1","0","0"
"1","11","7","0","20","-1","1","16.437","-3.713","68.384","44.686"
"1","11","8","590","49","0","1","119.18","1.513","354.264","324.914"
"1","11","9","749","67","0","1","340.973","10.867","1236.812","1185.657"
"1","11","10","807","79","0","1","547.878","19.897","2056.706","1979.396"
"1","11","11","107","178","0","1","270.063","11.491","1066.529","1020.094"
"1","11","12","521","122","0","1","597.29","21.142","2283.298","2197.757"
"1","11","13","664","85","0","1","718.524","27.362","2690.066","2588.662"
"1","11","14","562","72","-1","1","610.432","23.6","2315.132","2228.4"
"1","11","15","352","45","-1","1","371.242","14.624","1449.151","1391.767"
"1","11","16","0","0","-2","1","0","-2","0","0"
"1","11","17","0","0","-2","1","0","-2","0","0"
"1","11","18","0","0","-3","1","0","-3","0","0"
"1","11","19","0","0","-3","1","0","-3","0","0"
"1","11","20","0","0","-3","0","0","-3","0","0"
"1","11","21","0","0","-3","0","0","-3","0","0"
"1","11","22","0","0","-3","0","0","-3","0","0"
"1","11","23","0","0","-4","0","0","-4","0","0"
"1","12","0","0","0","-4","0","0","-4","0","0"
"1","12","1","0","0","-5","0","0","-5","0","0"
"1","12","2","0","0","-5","0","0","-5","0","0"
"1","12","3","0","0","-5","0","0","-5","0","0"
"1","12","4","0","0","-5","0","0","-5","0","0"
"1","12","5","0","0","-5","0","0","-5","0","0"
"1","12","6","0","0","-4","0","0","-4","0","0"
"1","12","7","0","20","-4","0","16.45","-8.535","69.49","45.771"
"1","12","8","592","48","-3","0","117.832","-1.529","352.011","322.708"
"1","12","9","752","64","-2","0","338.629","12.18","1221.456","1170.737"
"1","12","10","129","160","-2","0","234.796","10.582","923.928","881.257"
"1","12","11","327","162","-1","0","421.371","18.067","1623.562","1560.777"
"1","12","12","333","157","-1","0","468.26","21.869","1786.335","1718.278"
"1","12","13","211","151","-1","0","368.497","18.498","1423.557","1366.944"
"1","12","14","168","107","-1","0","286.004","14.088","1121.346","1073.418"
"1","12","15","86","49","-1","0","144.102","6.935","577.917","543.664"
"1","12","16","0","0","-1","0","0","-1","0","0"
"1","12","17","0","0","-1","0","0","-1","0","0"
"1","12","18","0","0","0","0","0","0","0","0"
"1","12","19","0","0","0","0","0","0","0","0"
"1","12","20","0","0","0","0","0","0","0","0"
"1","12","21","0","0","0","0","0","0","0","0"
"1","12","22","0","0","0","0","0","0","0","0"
"1","12","23","0","0","0","0","0","0","0","0"
"1","13","0","0","0","0","0","0","0","0","0"
"1","13","1","0","0","-1","0","0","-1","0","0"
"1","13","2","0","0","-3","0","0","-3","0","0"
"1","13","3","0","0","-4","0","0","-4","0","0"
"1","13","4","0","0","-4","1","0","-4","0","0"
"1","13","5","0","0","-5","1","0","-5","0","0"
"1","13","6","0","0","-5","1","0","-5","0","0"
"1","13","7","0","18","-5","1","14.988","-7.853","63.179","39.577"
"1","13","8","449","69","-5","1","116.118","-3.643","380.261","350.363"
"1","13","9","639","99","-5","1","331.857","5.615","1238.648","1187.44"
"1","13","10","691","126","-5","1","532.513","14.546","2041.848","1965.062"
"1","13","11","611","108","-5","1","584.733","17.763","2251.502","2167.142"
"1","13","12","632","100","-5","1","671.128","21.062","2565.915","2469.5"
"1","13","13","809","86","-5","1","847.346","27.458","3171.299","3049.322"
"1","13","14","735","66","-5","1","752.62","25.448","2835.934","2728.501"
"1","13","15","537","40","-6","1","512.613","15.856","1992.177","1917.131"
"1","13","16","0","0","-6","1","0","-6","0","0"
"1","13","17","0","0","-7","1","0","-7","0","0"
"1","13","18","0","0","-8","1","0","-8","0","0"
"1","13","19","0","0","-8","0","0","-8","0","0"
"1","13","20","0","0","-8","0","0","-8","0","0"
"1","13","21","0","0","-9","0","0","-9","0","0"
"1","13","22","0","0","-10","0","0","-10","0","0"
"1","13","23","0","0","-10","0","0","-10","0","0"
"1","14","0","0","0","-10","0","0","-10","0","0"
"1","14","1","0","0","-9","0","0","-9","0","0"
"1","14","2","0","0","-9","0","0","-9","0","0"
"1","14","3","0","0","-9","0","0","-9","0","0"
"1","14","4","0","0","-9","0","0","-9","0","0"
"1","14","5","0","0","-9","0","0","-9","0","0"
"1","14","6","0","0","-8","0","0","-8","0","0"
"1","14","7","0","17","-7","0","14.241","-11.753","60.763","37.207"
"1","14","8","317","70","-6","0","100.72","-6.138","349.304","320.058"
"1","14","9","465","102","-5","0","270.609","5.968","1017.626","972.501"
"1","14","10","822","88","-4","0","567.553","21.36","2120.711","2041.12"
"1","14","11","857","91","-3","0","737.081","31.234","2705.637","2603.598"
"1","14","12","853","90","-3","0","835.146","35.999","3027.8","2912.162"
"1","14","13","816","82","-3","0","841.702","36.971","3044.379","2928.018"
"1","14","14","720","68","-3","0","743.63","33.705","2721.086","2618.415"
"1","14","15","511","43","-4","0","496.619","23.284","1881.658","1810.409"
"1","14","16","0","0","-5","0","0","-5","0","0"
"1","14","17","0","0","-5","0","0","-5","0","0"
"1","14","18","0","0","-6","0","0","-6","0","0"
"1","14","19","0","0","-5","0","0","-5","0","0"
"1","14","20","0","0","-5","0","0","-5","0","0"
"1","14","21","0","0","-5","0","0","-5","0","0"
"1","14","22","0","0","-6","0","0","-6","0","0"
"1","14","23","0","0","-6","0","0","-6","0","0"
"1","15","0","0","0","-7","0","0","-7","0","0"
"1","15","1","0","0","-7","0","0","-7","0","0"
"1","15","2","0","0","-7","0","0","-7","0","0"
"1","15","3","0","0","-7","0","0","-7","0","0"
"1","15","4","0","0","-7","0","0","-7","0","0"
"1","15","5","0","0","-8","0","0","-8","0","0"
"1","15","6","0","0","-7","0","0","-7","0","0"
"1","15","7","0","7","-6","0","5.829","-11.175","24.825","1.928"
"1","15","8","0","56","-4","0","46.679","-7.143","196.322","170.18"
"1","15","9","0","106","-2","0","91.393","-1.532","377.593","347.751"
"1","15","10","0","109","-1","0","94.454","0.986","387.092","357.049"
"1","15","11","0","119","-1","0","104.556","1.695","427.512","396.603"
"1","15","12","0","92","-1","0","79.098","0.53","324.64","295.908"
"1","15","13","0","33","-1","0","27.625","-3.324","114.789","90.221"
"1","15","14","0","22","-1","0","18.376","-4.985","76.763","52.909"
"1","15","15","0","9","-1","0","7.494","-5.777","31.381","8.364"
"1","15","16","0","0","-2","0","0","-2","0","0"
"1","15","17","0","0","-2","0","0","-2","0","0"
"1","15","18","0","0","-2","0","0","-2","0","0"
"1","15","19","0","0","-2","0","0","-2","0","0"
"1","15","20","0","0","-1","0","0","-1","0","0"
"1","15","21","0","0","-1","0","0","-1","0","0"
"1","15","22","0","0","-1","0","0","-1","0","0"
"1","15","23","0","0","-1","0","0","-1","0","0"
"1","16","0","0","0","0","0","0","0","0","0"
"1","16","1","0","0","0","0","0","0","0","0"
"1","16","2","0","0","0","0","0","0","0","0"
"1","16","3","0","0","0","0","0","0","0","0"
"1","16","4","0","0","0","0","0","0","0","0"
"1","16","5","0","0","0","0","0","0","0","0"
"1","16","6","0","0","0","1","0","0","0","0"
"1","16","7","0","3","0","1","2.492","-3.299","10.354","0"
"1","16","8","0","24","0","1","20.055","-2.581","83.138","59.165"
"1","16","9","0","46","0","1","38.563","-1.686","159.404","133.982"
"1","16","10","0","99","-1","1","85.029","-0.661","350.323","321.055"
"1","16","11","0","136","-1","1","121.411","1.193","497.238","464.802"
"1","16","12","0","118","-2","1","105.028","-0.137","431.989","400.983"
"1","16","13","0","99","-1","0","88.402","0.979","362.301","332.782"
"1","16","14","0","69","-1","0","61.005","-0.886","251.521","224.282"
"1","16","15","0","30","-1","0","25.129","-3.893","104.608","80.232"
"1","16","16","0","0","-3","0","0","-3","0","0"
"1","16","17","0","0","-4","0","0","-4","0","0"
"1","16","18","0","0","-4","0","0","-4","0","0"
"1","16","19","0","0","-3","0","0","-3","0","0"
"1","16","20","0","0","-3","0","0","-3","0","0"
"1","16","21","0","0","-2","0","0","-2","0","0"
"1","16","22","0","0","-2","0","0","-2","0","0"
"1","16","23","0","0","-2","0","0","-2","0","0"
"1","17","0","0","0","-2","0","0","-2","0","0"
"1","17","1","0","0","-3","0","0","-3","0","0"
"1","17","2","0","0","-3","0","0","-3","0","0"
"1","17","3","0","0","-4","0","0","-4","0","0"
"1","17","4","0","0","-4","0","0","-4","0","0"
"1","17","5","0","0","-5","0","0","-5","0","0"
"1","17","6","0","0","-6","0","0","-6","0","0"
"1","17","7","198","17","-5","0","13.747","-9.702","58.284","34.773"
"1","17","8","576","58","-3","0","122.096","-1.373","374.281","344.51"
"1","17","9","720","85","-2","0","346.234","12.565","1254.158","1202.508"
"1","17","10","703","77","-1","0","489.596","21.919","1826.388","1756.998"
"1","17","11","560","124","-1","0","566.113","26.218","2117.88","2038.39"
"1","17","12","269","173","-1","0","435.558","22.074","1660.949","1596.973"
"1","17","13","84","154","-1","0","242.995","13.127","956.355","912.842"
"1","17","14","53","114","-2","0","179.63","6.971","721.594","683.968"
"1","17","15","25","53","-3","0","85.587","0.525","350.922","321.642"
"1","17","16","0","0","-4","0","0","-4","0","0"
"1","17","17","0","0","-4","0","0","-4","0","0"
"1","17","18","0","0","-4","0","0","-4","0","0"
"1","17","19","0","0","-4","0","0","-4","0","0"
"1","17","20","0","0","-4","0","0","-4","0","0"
"1","17","21","0","0","-4","0","0","-4","0","0"
"1","17","22","0","0","-5","0","0","-5","0","0"
"1","17","23","0","0","-5","0","0","-5","0","0"
"1","18","0","0","0","-5","0","0","-5","0","0"
"1","18","1","0","0","-5","0","0","-5","0","0"
"1","18","2","0","0","-5","0","0","-5","0","0"
"1","18","3","0","0","-5","0","0","-5","0","0"
"1","18","4","0","0","-5","0","0","-5","0","0"
"1","18","5","0","0","-6","0","0","-6","0","0"
"1","18","6","0","0","-5","0","0","-5","0","0"
"1","18","7","0","10","-5","0","8.341","-10.019","35.396","12.306"
"1","18","8","0","66","-5","0","54.718","-7.607","230.467","203.65"
"1","18","9","16","118","-4","0","107.653","-2.179","443.087","411.84"
"1","18","10","0","48","-4","0","40.259","-4.882","168.115","142.524"
"1","18","11","37","173","-4","0","198.444","2.584","808.136","768.395"
"1","18","12","166","185","-4","0","348.827","11.735","1378.358","1323.093"
"1","18","13","0","108","-4","0","97.768","2.87","398.239","367.958"
"1","18","14","0","75","-4","1","67.407","-3.835","280.55","252.724"
"1","18","15","0","33","-5","1","27.658","-6.752","116.181","91.587"
"1","18","16","0","0","-6","1","0","-6","0","0"
"1","18","17","0","0","-6","1","0","-6","0","0"
"1","18","18","0","0","-7","1","0","-7","0","0"
"1","18","19","0","0","-8","1","0","-8","0","0"
"1","18","20","0","0","-8","1","0","-8","0","0"
"1","18","21","0","0","-9","1","0","-9","0","0"
"1","18","22","0","0","-9","1","0","-9","0","0"
"1","18","23","0","0","-9","1","0","-9","0","0"
"1","19","0","0","0","-10","1","0","-10","0","0"
"1","19","1","0","0","-10","1","0","-10","0","0"
"1","19","2","0","0","-10","1","0","-10","0","0"
"1","19","3","0","0","-11","1","0","-11","0","0"
"1","19","4","0","0","-11","1","0","-11","0","0"
"1","19","5","0","0","-11","1","0","-11","0","0"
"1","19","6","0","0","-12","1","0","-12","0","0"
"1","19","7","0","23","-11","1","18.753","-13.748","80.511","56.587"
"1","19","8","476","52","-11","1","104.257","-10.09","332.497","303.602"
"1","19","9","597","74","-11","1","292.284","-1.839","1111.57","1063.909"
"1","19","10","625","97","-11","1","468.238","6.253","1844.772","1774.767"
"1","19","11","194","188","-10","1","341.585","3.93","1381.725","1326.36"
"1","19","12","254","179","-10","1","430.511","6.216","1732.081","1665.806"
"1","19","13","194","157","-10","1","359.835","4.311","1457.812","1400.166"
"1","19","14","185","111","-10","1","320.802","2.316","1307.919","1254.72"
"1","19","15","143","56","-11","1","211.215","-3.115","875.099","833.677"
"1","19","16","0","0","-11","1","0","-11","0","0"
"1","19","17","0","0","-12","1","0","-12","0","0"
"1","19","18","0","0","-12","1","0","-12","0","0"
"1","19","19","0","0","-11","1","0","-11","0","0"
"1","19","20","0","0","-11","1","0","-11","0","0"
"1","19","21","0","0","-10","1","0","-10","0","0"
"1","19","22","0","0","-9","1","0","-9","0","0"
"1","19","23","0","0","-9","1","0","-9","0","0"
"1","20","0","0","0","-8","1","0","-8","0","0"
"1","20","1","0","0","-8","1","0","-8","0","0"
"1","20","2","0","0","-7","1","0","-7","0","0"
"1","20","3","0","0","-7","1","0","-7","0","0"
"1","20","4","0","0","-7","1","0","-7","0","0"
"1","20","5","0","0","-7","1","0","-7","0","0"
"1","20","6","0","0","-8","1","0","-8","0","0"
"1","20","7","0","26","-7","1","20.889","-9.676","88.554","64.48"
"1","20","8","580","43","-7","1","109.488","-5.862","326.451","297.681"
"1","20","9","707","58","-6","1","314.746","3.936","1164.628","1115.504"
"1","20","10","794","62","-5","1","522.651","14.072","2000.145","1924.821"
"1","20","11","920","80","-5","1","773.812","24.104","2913.145","2802.448"
"1","20","12","920","78","-5","1","882.886","29.231","3280.191","3153.287"
"1","20","13","746","66","-5","1","768.731","26.195","2890.387","2780.657"
"1","20","14","673","57","-5","1","689.516","22.872","2622.288","2523.625"
"1","20","15","480","44","-5","1","480.403","15.237","1872.123","1801.196"
"1","20","16","0","0","-6","1","0","-6","0","0"
